GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SotoZapataMariaCamilaMP2025,org.mp.sesion05.colas,ArrayQueue,48,84,2,4,10,21,4,6,2,5
SotoZapataMariaCamilaMP2025,org.mp.sesion05.colas,LinkedListQueue,3,25,0,0,2,8,2,5,2,5
SotoZapataMariaCamilaMP2025,org.mp.sesion05.colas,NodeQueue,5,70,1,5,3,21,3,6,2,4
SotoZapataMariaCamilaMP2025,org.mp.sesion05.colas,EvaluadorRendimientoColas,301,0,18,0,48,0,11,0,2,0
SotoZapataMariaCamilaMP2025,org.mp.sesion05.colas,NodeQueue.Node,0,6,0,0,0,3,0,1,0,1
SotoZapataMariaCamilaMP2025,org.mp.sesion04.list.arraylist,ArrayList,10,337,4,40,2,67,5,34,1,16
SotoZapataMariaCamilaMP2025,org.mp.sesion04.list.arraylist,ArrayList.ArrayListIterator,0,73,0,6,0,16,0,7,0,4
SotoZapataMariaCamilaMP2025,org.mp.sesion07.busqueda,Busqueda,4,68,0,2,2,18,1,8,1,7
SotoZapataMariaCamilaMP2025,org.mp.sesion07.busqueda,SolucionesBusqueda,25,186,3,19,5,40,4,13,1,5
SotoZapataMariaCamilaMP2025,org.mp.sesion07.busqueda,ElementoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
SotoZapataMariaCamilaMP2025,org.mp.sesion07.comparator,Baraja,143,12,14,0,28,5,15,2,8,2
SotoZapataMariaCamilaMP2025,org.mp.sesion07.comparator,NumerosAleatorios,3,0,0,0,1,0,1,0,1,0
SotoZapataMariaCamilaMP2025,org.mp.sesion07.comparator,Carta,15,115,6,18,5,25,7,11,1,5
SotoZapataMariaCamilaMP2025,org.mp.sesion07.comparator,NumeroPaloComparator,2,76,1,13,1,17,1,8,0,2
SotoZapataMariaCamilaMP2025,org.mp.sesion07.comparator,Accion,78,0,14,0,23,0,15,0,8,0
SotoZapataMariaCamilaMP2025,org.mp.sesion07.comparator,VolumenComparator,21,0,4,0,6,0,4,0,2,0
SotoZapataMariaCamilaMP2025,org.mp.sesion07.comparator,Acciones,17,0,0,0,6,0,3,0,3,0
SotoZapataMariaCamilaMP2025,org.mp.sesion06.evaluador,Evaluador,0,185,1,26,0,39,1,20,0,6
SotoZapataMariaCamilaMP2025,org.mp.sesion05.pilas,NodeStack,0,69,0,6,0,18,0,9,0,6
SotoZapataMariaCamilaMP2025,org.mp.sesion05.pilas,LinkedListStack,0,29,0,0,0,9,0,6,0,6
SotoZapataMariaCamilaMP2025,org.mp.sesion05.pilas,ArrayStack,19,76,1,7,3,18,1,10,0,7
SotoZapataMariaCamilaMP2025,org.mp.sesion05.pilas,NodeStack.Node,0,6,0,0,0,3,0,1,0,1
SotoZapataMariaCamilaMP2025,org.mp.sesion05.pilas,EvaluadorRendimientoPilas,301,0,18,0,48,0,11,0,2,0
SotoZapataMariaCamilaMP2025,org.mp.sesion06.josephus,GenericJosephusQueue,0,84,0,12,0,23,0,9,0,3
SotoZapataMariaCamilaMP2025,org.mp.sesion06.josephus,GenericJosephusCircular,0,81,0,12,0,23,0,8,0,2
SotoZapataMariaCamilaMP2025,org.mp.sesion08.utilidades,UtilidadesArchivos,45,309,4,20,11,73,6,26,2,18
SotoZapataMariaCamilaMP2025,org.mp.sesion03.mezclalineal,MezclaLineal,21,131,4,16,3,20,5,8,1,2
SotoZapataMariaCamilaMP2025,org.mp.sesion01,FahrenheitACelsius,0,28,0,2,0,6,0,3,0,2
